CPS Data Collected in Year: 2005,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"291,166","60,730","46,970","69,446","59,276","54,745",,,,,,,,,,,,,,,
State,"4,512",909,857,"1,207",928,611,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,649,153,80,133,167,117,,,,,,,,,,,,,,,
AZ,"5,768","1,325",889,"1,198","1,283","1,074",,,,,,,,,,,,,,,
AR,"2,731",566,512,831,492,330,,,,,,,,,,,,,,,
CA,"35,854","7,985","6,805","6,205","7,639","7,221",,,,,,,,,,,,,,,
CO,"4,524",984,576,859,"1,029","1,077",,,,,,,,,,,,,,,
CT,"3,492",686,437,796,676,897,,,,,,,,,,,,,,,
DE,826,160,124,251,141,151,,,,,,,,,,,,,,,
DC,547,91,92,99,72,193,,,,,,,,,,,,,,,
FL,"17,468","3,342","2,579","4,598","3,803","3,145",,,,,,,,,,,,,,,
GA,"8,706","1,939","1,350","2,172","1,692","1,554",,,,,,,,,,,,,,,
HI,"1,249",244,165,281,291,269,,,,,,,,,,,,,,,
ID,"1,375",304,206,294,342,229,,,,,,,,,,,,,,,
IL,"12,592","2,691","1,834","2,899","2,653","2,516",,,,,,,,,,,,,,,
IN,"6,136","1,337",925,"1,778","1,159",937,,,,,,,,,,,,,,,
IA,"2,906",560,383,762,692,509,,,,,,,,,,,,,,,
KS,"2,674",565,307,608,647,546,,,,,,,,,,,,,,,
KY,"4,074",812,835,"1,092",807,529,,,,,,,,,,,,,,,
LA,"4,421",967,869,"1,282",715,587,,,,,,,,,,,,,,,
ME,"1,294",224,196,371,278,225,,,,,,,,,,,,,,,
MD,"5,550","1,148",794,"1,221",959,"1,427",,,,,,,,,,,,,,,
MA,"6,370","1,198",910,"1,492","1,138","1,632",,,,,,,,,,,,,,,
MI,"9,974","2,066","1,431","2,651","2,137","1,689",,,,,,,,,,,,,,,
MN,"5,127","1,030",564,"1,012","1,324","1,197",,,,,,,,,,,,,,,
MS,"2,868",617,586,662,573,431,,,,,,,,,,,,,,,
MO,"5,614","1,157",897,"1,485","1,111",965,,,,,,,,,,,,,,,
MT,912,165,115,244,230,158,,,,,,,,,,,,,,,
NE,"1,729",360,232,421,417,300,,,,,,,,,,,,,,,
NV,"2,392",513,371,626,505,376,,,,,,,,,,,,,,,
NH,"1,293",245,158,317,282,291,,,,,,,,,,,,,,,
NJ,"8,662","1,794","1,284","2,014","1,403","2,167",,,,,,,,,,,,,,,
NM,"1,902",413,355,379,415,341,,,,,,,,,,,,,,,
NY,"19,054","3,752","3,037","4,741","3,483","4,041",,,,,,,,,,,,,,,
NC,"8,435","1,752","1,467","1,956","1,838","1,421",,,,,,,,,,,,,,,
ND,627,111,85,142,172,117,,,,,,,,,,,,,,,
OH,"11,270","2,278","1,643","3,339","2,214","1,796",,,,,,,,,,,,,,,
OK,"3,444",718,527,844,800,555,,,,,,,,,,,,,,,
OR,"3,582",703,494,799,867,718,,,,,,,,,,,,,,,
PA,"12,175","2,293","1,892","3,938","1,824","2,227",,,,,,,,,,,,,,,
RI,"1,056",197,188,261,200,210,,,,,,,,,,,,,,,
SC,"4,124",842,763,"1,018",817,684,,,,,,,,,,,,,,,
SD,754,158,104,190,177,125,,,,,,,,,,,,,,,
TN,"5,857","1,159","1,072","1,616","1,129",881,,,,,,,,,,,,,,,
TX,"22,331","5,296","4,620","4,388","4,375","3,652",,,,,,,,,,,,,,,
UT,"2,393",633,287,443,627,402,,,,,,,,,,,,,,,
VT,617,105,81,158,119,154,,,,,,,,,,,,,,,
VA,"7,383","1,490","1,150","1,743","1,431","1,568",,,,,,,,,,,,,,,
WA,"6,118","1,223",754,"1,297","1,551","1,293",,,,,,,,,,,,,,,
WV,"1,792",314,321,639,325,193,,,,,,,,,,,,,,,
WI,"5,463","1,061",702,"1,562","1,197",942,,,,,,,,,,,,,,,
WY,498,93,65,134,131,75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2005",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
