CPS Data Collected in Year: 2009,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"301,483","61,339","44,795","70,257","63,681","61,411",,,,,,,,,,,,,,,
State,"4,720",908,863,"1,217",987,745,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,673,147,77,167,164,118,,,,,,,,,,,,,,,
AZ,"6,537","1,442","1,097","1,307","1,482","1,209",,,,,,,,,,,,,,,
AR,"2,827",597,435,874,509,412,,,,,,,,,,,,,,,
CA,"36,691","7,779","6,660","6,333","8,061","7,857",,,,,,,,,,,,,,,
CO,"4,916","1,031",546,914,"1,061","1,364",,,,,,,,,,,,,,,
CT,"3,437",661,438,768,662,907,,,,,,,,,,,,,,,
DE,863,174,115,227,166,181,,,,,,,,,,,,,,,
DC,592,95,74,99,88,236,,,,,,,,,,,,,,,
FL,"18,049","3,273","2,458","4,470","3,967","3,881",,,,,,,,,,,,,,,
GA,"9,553","2,129","1,381","2,175","1,911","1,956",,,,,,,,,,,,,,,
HI,"1,258",238,143,320,297,258,,,,,,,,,,,,,,,
ID,"1,518",351,183,352,386,245,,,,,,,,,,,,,,,
IL,"12,703","2,631","1,652","2,825","2,822","2,774",,,,,,,,,,,,,,,
IN,"6,295","1,333",856,"1,818","1,323",964,,,,,,,,,,,,,,,
IA,"2,990",580,368,775,728,539,,,,,,,,,,,,,,,
KS,"2,724",601,296,581,661,586,,,,,,,,,,,,,,,
KY,"4,256",818,781,"1,185",840,632,,,,,,,,,,,,,,,
LA,"4,335",925,728,"1,223",777,682,,,,,,,,,,,,,,,
ME,"1,319",220,169,370,298,263,,,,,,,,,,,,,,,
MD,"5,539","1,109",680,"1,185","1,157","1,407",,,,,,,,,,,,,,,
MA,"6,421","1,162",760,"1,396","1,124","1,979",,,,,,,,,,,,,,,
MI,"9,816","1,918","1,202","2,528","2,282","1,886",,,,,,,,,,,,,,,
MN,"5,121","1,044",525,"1,122","1,217","1,213",,,,,,,,,,,,,,,
MS,"2,907",636,580,709,568,414,,,,,,,,,,,,,,,
MO,"5,871","1,164",797,"1,638","1,196","1,076",,,,,,,,,,,,,,,
MT,976,179,107,251,231,209,,,,,,,,,,,,,,,
NE,"1,776",367,235,412,410,351,,,,,,,,,,,,,,,
NV,"2,584",562,378,637,584,424,,,,,,,,,,,,,,,
NH,"1,301",234,149,297,289,333,,,,,,,,,,,,,,,
NJ,"8,524","1,676","1,166","2,037","1,414","2,231",,,,,,,,,,,,,,,
NM,"1,978",425,364,388,428,373,,,,,,,,,,,,,,,
NY,"19,338","3,588","2,834","4,629","3,828","4,459",,,,,,,,,,,,,,,
NC,"9,253","1,881","1,514","2,141","1,945","1,772",,,,,,,,,,,,,,,
ND,627,115,81,123,182,126,,,,,,,,,,,,,,,
OH,"11,397","2,248","1,558","3,308","2,379","1,904",,,,,,,,,,,,,,,
OK,"3,558",753,508,837,844,617,,,,,,,,,,,,,,,
OR,"3,815",719,498,890,932,776,,,,,,,,,,,,,,,
PA,"12,195","2,251","1,744","3,647","2,267","2,286",,,,,,,,,,,,,,,
RI,"1,044",186,161,240,212,245,,,,,,,,,,,,,,,
SC,"4,470",870,752,"1,160",918,769,,,,,,,,,,,,,,,
SD,798,164,95,201,195,142,,,,,,,,,,,,,,,
TN,"6,183","1,240","1,010","1,633","1,253","1,047",,,,,,,,,,,,,,,
TX,"24,194","5,770","4,603","4,933","4,849","4,039",,,,,,,,,,,,,,,
UT,"2,759",736,338,531,684,471,,,,,,,,,,,,,,,
VT,612,104,69,162,125,152,,,,,,,,,,,,,,,
VA,"7,748","1,517",983,"1,742","1,492","2,015",,,,,,,,,,,,,,,
WA,"6,540","1,281",705,"1,315","1,777","1,463",,,,,,,,,,,,,,,
WV,"1,799",319,313,584,312,271,,,,,,,,,,,,,,,
WI,"5,555","1,085",696,"1,452","1,248","1,073",,,,,,,,,,,,,,,
WY,530,105,69,131,148,77,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2009",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
