CPS Data Collected in Year: 2017,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"320,372","60,969","39,835","71,403","70,670","77,496",,,,,,,,,,,,,,,
State,"4,834",907,681,"1,266","1,075",904,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,711,160,74,171,160,147,,,,,,,,,,,,,,,
AZ,"6,890","1,361",995,"1,266","1,709","1,560",,,,,,,,,,,,,,,
AR,"2,945",578,425,770,683,488,,,,,,,,,,,,,,,
CA,"39,188","7,520","6,035","7,166","8,825","9,643",,,,,,,,,,,,,,,
CO,"5,509","1,056",468,"1,040","1,218","1,728",,,,,,,,,,,,,,,
CT,"3,570",609,409,769,671,"1,112",,,,,,,,,,,,,,,
DE,948,166,115,288,175,203,,,,,,,,,,,,,,,
DC,686,107,54,114,84,327,,,,,,,,,,,,,,,
FL,"20,545","3,416","2,356","5,003","4,911","4,860",,,,,,,,,,,,,,,
GA,"10,281","2,112","1,320","2,420","2,008","2,420",,,,,,,,,,,,,,,
HI,"1,392",261,122,333,328,348,,,,,,,,,,,,,,,
ID,"1,679",364,191,335,450,339,,,,,,,,,,,,,,,
IL,"12,607","2,395","1,338","2,740","2,741","3,394",,,,,,,,,,,,,,,
IN,"6,503","1,291",817,"1,640","1,375","1,379",,,,,,,,,,,,,,,
IA,"3,106",596,276,714,800,719,,,,,,,,,,,,,,,
KS,"2,865",598,325,588,689,665,,,,,,,,,,,,,,,
KY,"4,388",829,638,"1,145","1,003",773,,,,,,,,,,,,,,,
LA,"4,578",928,735,"1,162",955,799,,,,,,,,,,,,,,,
ME,"1,322",210,133,370,292,317,,,,,,,,,,,,,,,
MD,"5,933","1,122",610,"1,203","1,186","1,812",,,,,,,,,,,,,,,
MA,"6,780","1,136",646,"1,377","1,272","2,348",,,,,,,,,,,,,,,
MI,"9,893","1,769",987,"2,336","2,449","2,353",,,,,,,,,,,,,,,
MN,"5,437","1,069",599,"1,036","1,390","1,342",,,,,,,,,,,,,,,
MS,"2,948",596,408,720,776,447,,,,,,,,,,,,,,,
MO,"5,889","1,134",739,"1,436","1,297","1,282",,,,,,,,,,,,,,,
MT,"1,036",188,87,232,275,253,,,,,,,,,,,,,,,
NE,"1,876",391,199,362,474,450,,,,,,,,,,,,,,,
NV,"2,943",561,350,836,699,498,,,,,,,,,,,,,,,
NH,"1,318",207,119,328,274,390,,,,,,,,,,,,,,,
NJ,"8,852","1,632",824,"2,028","1,683","2,683",,,,,,,,,,,,,,,
NM,"2,045",402,302,475,476,390,,,,,,,,,,,,,,,
NY,"19,482","3,478","2,452","4,234","3,792","5,526",,,,,,,,,,,,,,,
NC,"10,068","1,916","1,287","2,133","2,353","2,379",,,,,,,,,,,,,,,
ND,749,151,69,171,188,171,,,,,,,,,,,,,,,
OH,"11,469","2,146","1,170","3,093","2,611","2,448",,,,,,,,,,,,,,,
OK,"3,921",807,518,975,787,833,,,,,,,,,,,,,,,
OR,"4,130",720,458,819,"1,069","1,065",,,,,,,,,,,,,,,
PA,"12,558","2,198","1,347","3,563","2,471","2,979",,,,,,,,,,,,,,,
RI,"1,054",166,137,217,221,314,,,,,,,,,,,,,,,
SC,"4,908",923,646,993,"1,188","1,159",,,,,,,,,,,,,,,
SD,855,179,95,216,194,171,,,,,,,,,,,,,,,
TN,"6,674","1,262",782,"1,727","1,448","1,456",,,,,,,,,,,,,,,
TX,"27,677","6,139","4,260","5,639","5,862","5,777",,,,,,,,,,,,,,,
UT,"3,080",763,331,560,765,661,,,,,,,,,,,,,,,
VT,623,96,61,165,122,178,,,,,,,,,,,,,,,
VA,"8,175","1,537",966,"1,542","1,681","2,449",,,,,,,,,,,,,,,
WA,"7,297","1,356",885,"1,436","1,692","1,927",,,,,,,,,,,,,,,
WV,"1,814",301,278,591,346,298,,,,,,,,,,,,,,,
WI,"5,766","1,040",655,"1,513","1,325","1,233",,,,,,,,,,,,,,,
WY,572,118,58,146,150,99,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2017",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
