CPS Data Collected in Year: 2016,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"318,868","60,965","41,329","71,111","70,304","75,159",,,,,,,,,,,,,,,
State,"4,834",909,760,"1,247","1,073",845,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,705,155,69,164,162,156,,,,,,,,,,,,,,,
AZ,"6,740","1,333","1,047","1,307","1,672","1,380",,,,,,,,,,,,,,,
AR,"2,953",585,450,777,635,506,,,,,,,,,,,,,,,
CA,"39,114","7,592","5,964","7,168","8,939","9,451",,,,,,,,,,,,,,,
CO,"5,421","1,045",499,"1,093","1,189","1,595",,,,,,,,,,,,,,,
CT,"3,572",613,412,806,720,"1,021",,,,,,,,,,,,,,,
DE,959,172,105,273,194,214,,,,,,,,,,,,,,,
DC,677,103,63,109,82,318,,,,,,,,,,,,,,,
FL,"20,085","3,402","2,504","5,025","4,763","4,392",,,,,,,,,,,,,,,
GA,"10,105","2,066","1,429","2,273","2,128","2,210",,,,,,,,,,,,,,,
HI,"1,386",264,122,345,333,322,,,,,,,,,,,,,,,
ID,"1,659",362,180,347,465,305,,,,,,,,,,,,,,,
IL,"12,702","2,447","1,448","2,641","2,744","3,423",,,,,,,,,,,,,,,
IN,"6,512","1,304",833,"1,817","1,333","1,224",,,,,,,,,,,,,,,
IA,"3,101",610,322,728,761,679,,,,,,,,,,,,,,,
KS,"2,852",597,358,559,671,668,,,,,,,,,,,,,,,
KY,"4,383",835,696,"1,136",865,851,,,,,,,,,,,,,,,
LA,"4,604",932,695,"1,142","1,014",822,,,,,,,,,,,,,,,
ME,"1,342",207,128,375,322,310,,,,,,,,,,,,,,,
MD,"5,900","1,131",567,"1,258","1,201","1,744",,,,,,,,,,,,,,,
MA,"6,786","1,136",699,"1,407","1,161","2,383",,,,,,,,,,,,,,,
MI,"9,862","1,803",968,"2,503","2,464","2,123",,,,,,,,,,,,,,,
MN,"5,463","1,049",562,"1,021","1,288","1,542",,,,,,,,,,,,,,,
MS,"2,949",594,493,711,721,429,,,,,,,,,,,,,,,
MO,"5,963","1,148",708,"1,446","1,285","1,376",,,,,,,,,,,,,,,
MT,"1,018",189,96,236,265,232,,,,,,,,,,,,,,,
NE,"1,860",389,237,363,434,436,,,,,,,,,,,,,,,
NV,"2,867",565,351,738,683,531,,,,,,,,,,,,,,,
NH,"1,293",210,116,298,284,385,,,,,,,,,,,,,,,
NJ,"8,942","1,645",974,"2,080","1,537","2,706",,,,,,,,,,,,,,,
NM,"2,041",405,315,455,486,380,,,,,,,,,,,,,,,
NY,"19,695","3,472","2,625","4,145","3,861","5,591",,,,,,,,,,,,,,,
NC,"9,902","1,890","1,332","2,155","2,292","2,232",,,,,,,,,,,,,,,
ND,763,155,65,156,213,175,,,,,,,,,,,,,,,
OH,"11,451","2,152","1,278","3,208","2,512","2,301",,,,,,,,,,,,,,,
OK,"3,903",804,497,"1,035",886,681,,,,,,,,,,,,,,,
OR,"4,033",728,455,817,"1,061",971,,,,,,,,,,,,,,,
PA,"12,596","2,186","1,483","3,528","2,383","3,015",,,,,,,,,,,,,,,
RI,"1,045",171,156,237,219,262,,,,,,,,,,,,,,,
SC,"4,795",910,666,"1,075","1,115","1,028",,,,,,,,,,,,,,,
SD,848,180,80,194,222,172,,,,,,,,,,,,,,,
TN,"6,616","1,233",902,"1,708","1,382","1,391",,,,,,,,,,,,,,,
TX,"27,434","6,083","4,317","5,128","5,910","5,996",,,,,,,,,,,,,,,
UT,"3,005",774,320,549,755,606,,,,,,,,,,,,,,,
VT,610,95,62,144,113,195,,,,,,,,,,,,,,,
VA,"8,217","1,529","1,034","1,613","1,776","2,266",,,,,,,,,,,,,,,
WA,"7,195","1,321",918,"1,372","1,723","1,861",,,,,,,,,,,,,,,
WV,"1,798",312,269,604,325,288,,,,,,,,,,,,,,,
WI,"5,738","1,055",641,"1,451","1,530","1,061",,,,,,,,,,,,,,,
WY,575,117,56,141,151,110,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2016",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
