CPS Data Collected in Year: 2006,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"293,834","60,641","46,962","69,548","60,615","56,069",,,,,,,,,,,,,,,
State,"4,524",902,819,"1,259",888,656,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,659,155,78,142,168,116,,,,,,,,,,,,,,,
AZ,"6,047","1,337","1,089","1,292","1,362",968,,,,,,,,,,,,,,,
AR,"2,760",555,478,810,558,359,,,,,,,,,,,,,,,
CA,"35,940","8,096","6,616","6,502","7,687","7,037",,,,,,,,,,,,,,,
CO,"4,641",985,605,900,"1,012","1,138",,,,,,,,,,,,,,,
CT,"3,487",668,481,781,656,901,,,,,,,,,,,,,,,
DE,844,165,127,229,167,156,,,,,,,,,,,,,,,
DC,540,93,92,83,70,200,,,,,,,,,,,,,,,
FL,"17,886","3,373","2,633","4,449","3,981","3,448",,,,,,,,,,,,,,,
GA,"9,045","1,984","1,520","2,183","1,658","1,699",,,,,,,,,,,,,,,
HI,"1,279",257,157,298,279,288,,,,,,,,,,,,,,,
ID,"1,442",315,209,324,356,238,,,,,,,,,,,,,,,
IL,"12,608","2,658","1,871","2,746","2,662","2,671",,,,,,,,,,,,,,,
IN,"6,141","1,305",923,"1,757","1,267",889,,,,,,,,,,,,,,,
IA,"2,909",550,365,803,675,515,,,,,,,,,,,,,,,
KS,"2,695",564,338,577,641,575,,,,,,,,,,,,,,,
KY,"4,052",815,791,"1,109",781,556,,,,,,,,,,,,,,,
LA,"4,088",878,829,"1,084",724,574,,,,,,,,,,,,,,,
ME,"1,320",219,182,369,299,251,,,,,,,,,,,,,,,
MD,"5,569","1,132",812,"1,261",996,"1,367",,,,,,,,,,,,,,,
MA,"6,328","1,186",823,"1,414","1,125","1,779",,,,,,,,,,,,,,,
MI,"9,982","2,067","1,323","2,569","2,250","1,773",,,,,,,,,,,,,,,
MN,"5,129","1,003",546,"1,077","1,323","1,181",,,,,,,,,,,,,,,
MS,"2,854",599,572,715,576,392,,,,,,,,,,,,,,,
MO,"5,710","1,125",864,"1,531","1,227",963,,,,,,,,,,,,,,,
MT,928,167,118,250,230,163,,,,,,,,,,,,,,,
NE,"1,766",359,202,461,398,346,,,,,,,,,,,,,,,
NV,"2,448",513,423,645,527,339,,,,,,,,,,,,,,,
NH,"1,301",245,146,321,289,299,,,,,,,,,,,,,,,
NJ,"8,725","1,753","1,320","2,080","1,430","2,142",,,,,,,,,,,,,,,
NM,"1,938",408,358,403,425,344,,,,,,,,,,,,,,,
NY,"19,022","3,702","3,138","4,550","3,337","4,296",,,,,,,,,,,,,,,
NC,"8,561","1,784","1,495","1,969","1,811","1,502",,,,,,,,,,,,,,,
ND,626,114,87,135,165,125,,,,,,,,,,,,,,,
OH,"11,334","2,261","1,584","3,341","2,315","1,833",,,,,,,,,,,,,,,
OK,"3,505",711,493,965,800,536,,,,,,,,,,,,,,,
OR,"3,627",700,476,805,943,703,,,,,,,,,,,,,,,
PA,"12,281","2,295","1,783","3,782","2,076","2,344",,,,,,,,,,,,,,,
RI,"1,054",196,185,236,210,227,,,,,,,,,,,,,,,
SC,"4,181",853,735,"1,075",874,643,,,,,,,,,,,,,,,
SD,768,155,98,199,182,135,,,,,,,,,,,,,,,
TN,"5,867","1,135","1,145","1,487","1,210",890,,,,,,,,,,,,,,,
TX,"22,819","5,380","4,671","4,549","4,492","3,727",,,,,,,,,,,,,,,
UT,"2,524",643,306,536,644,394,,,,,,,,,,,,,,,
VT,622,103,76,167,125,150,,,,,,,,,,,,,,,
VA,"7,454","1,506","1,103","1,744","1,431","1,669",,,,,,,,,,,,,,,
WA,"6,250","1,209",803,"1,235","1,658","1,345",,,,,,,,,,,,,,,
WV,"1,799",312,342,622,314,209,,,,,,,,,,,,,,,
WI,"5,447","1,054",665,"1,586","1,201",942,,,,,,,,,,,,,,,
WY,511,94,63,141,140,74,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2006",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
