CPS Data Collected in Year: 2004,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"288,280","60,696","46,575","68,303","58,608","54,098",,,,,,,,,,,,,,,
State,"4,427",916,784,"1,120",929,678,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,645,156,87,146,154,103,,,,,,,,,,,,,,,
AZ,"5,576","1,321",894,"1,133","1,226","1,003",,,,,,,,,,,,,,,
AR,"2,671",573,516,753,492,338,,,,,,,,,,,,,,,
CA,"35,394","7,914","6,519","5,888","7,718","7,356",,,,,,,,,,,,,,,
CO,"4,480",968,611,873,951,"1,078",,,,,,,,,,,,,,,
CT,"3,421",674,496,788,648,816,,,,,,,,,,,,,,,
DE,820,162,129,227,148,154,,,,,,,,,,,,,,,
DC,554,92,78,107,84,193,,,,,,,,,,,,,,,
FL,"16,921","3,262","2,663","4,173","3,763","3,059",,,,,,,,,,,,,,,
GA,"8,571","1,919","1,374","2,098","1,587","1,594",,,,,,,,,,,,,,,
HI,"1,253",258,164,298,306,227,,,,,,,,,,,,,,,
ID,"1,360",311,196,317,322,214,,,,,,,,,,,,,,,
IL,"12,628","2,704","1,878","3,094","2,579","2,373",,,,,,,,,,,,,,,
IN,"6,149","1,337",920,"1,806","1,217",868,,,,,,,,,,,,,,,
IA,"2,921",565,397,783,685,492,,,,,,,,,,,,,,,
KS,"2,683",572,359,576,646,529,,,,,,,,,,,,,,,
KY,"4,110",824,772,"1,109",804,601,,,,,,,,,,,,,,,
LA,"4,429",953,924,"1,145",754,654,,,,,,,,,,,,,,,
ME,"1,283",227,199,378,257,222,,,,,,,,,,,,,,,
MD,"5,493","1,140",825,"1,289",913,"1,325",,,,,,,,,,,,,,,
MA,"6,367","1,236",948,"1,439","1,097","1,647",,,,,,,,,,,,,,,
MI,"9,918","2,067","1,447","2,551","2,200","1,653",,,,,,,,,,,,,,,
MN,"5,076","1,018",540,"1,099","1,272","1,148",,,,,,,,,,,,,,,
MS,"2,854",627,501,741,602,383,,,,,,,,,,,,,,,
MO,"5,623","1,162",793,"1,484","1,096","1,087",,,,,,,,,,,,,,,
MT,917,174,107,255,216,165,,,,,,,,,,,,,,,
NE,"1,727",357,218,420,447,284,,,,,,,,,,,,,,,
NV,"2,250",497,336,577,473,367,,,,,,,,,,,,,,,
NH,"1,264",249,160,285,267,303,,,,,,,,,,,,,,,
NJ,"8,579","1,797","1,199","2,127","1,424","2,033",,,,,,,,,,,,,,,
NM,"1,871",422,325,408,410,306,,,,,,,,,,,,,,,
NY,"18,970","3,702","3,072","4,659","3,455","4,082",,,,,,,,,,,,,,,
NC,"8,253","1,764","1,539","2,002","1,647","1,301",,,,,,,,,,,,,,,
ND,631,119,84,158,162,109,,,,,,,,,,,,,,,
OH,"11,247","2,308","1,665","3,203","2,207","1,865",,,,,,,,,,,,,,,
OK,"3,438",725,544,863,790,517,,,,,,,,,,,,,,,
OR,"3,569",705,499,814,914,637,,,,,,,,,,,,,,,
PA,"12,155","2,321","1,849","3,883","1,903","2,198",,,,,,,,,,,,,,,
RI,"1,053",200,201,263,186,204,,,,,,,,,,,,,,,
SC,"4,064",838,727,985,828,686,,,,,,,,,,,,,,,
SD,751,159,113,181,175,123,,,,,,,,,,,,,,,
TN,"5,909","1,152","1,031","1,623","1,107",996,,,,,,,,,,,,,,,
TX,"21,858","5,286","4,498","4,333","4,319","3,423",,,,,,,,,,,,,,,
UT,"2,352",626,312,461,543,410,,,,,,,,,,,,,,,
VT,611,108,78,163,113,149,,,,,,,,,,,,,,,
VA,"7,386","1,495",996,"1,782","1,423","1,689",,,,,,,,,,,,,,,
WA,"6,091","1,230",827,"1,261","1,536","1,237",,,,,,,,,,,,,,,
WV,"1,787",320,348,610,309,200,,,,,,,,,,,,,,,
WI,"5,429","1,087",781,"1,445","1,169",947,,,,,,,,,,,,,,,
WY,488,98,57,125,134,73,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2004",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
