CPS Data Collected in Year: 2013,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"311,116","61,093","42,483","70,195","68,794","68,551",,,,,,,,,,,,,,,
State,"4,817",907,772,"1,278",936,924,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,704,155,85,155,172,138,,,,,,,,,,,,,,,
AZ,"6,644","1,346","1,110","1,380","1,482","1,325",,,,,,,,,,,,,,,
AR,"2,914",593,467,772,648,433,,,,,,,,,,,,,,,
CA,"37,985","7,637","6,223","6,663","8,693","8,769",,,,,,,,,,,,,,,
CO,"5,160","1,023",641,846,"1,140","1,510",,,,,,,,,,,,,,,
CT,"3,521",640,447,736,688,"1,011",,,,,,,,,,,,,,,
DE,902,171,112,229,192,197,,,,,,,,,,,,,,,
DC,633,96,66,99,77,294,,,,,,,,,,,,,,,
FL,"19,184","3,282","2,403","4,660","4,542","4,297",,,,,,,,,,,,,,,
GA,"9,672","2,109","1,307","2,165","2,011","2,080",,,,,,,,,,,,,,,
HI,"1,356",255,128,346,330,297,,,,,,,,,,,,,,,
ID,"1,590",359,197,339,405,290,,,,,,,,,,,,,,,
IL,"12,737","2,510","1,499","2,781","2,818","3,130",,,,,,,,,,,,,,,
IN,"6,348","1,290",850,"1,731","1,448","1,029",,,,,,,,,,,,,,,
IA,"3,013",595,365,744,712,596,,,,,,,,,,,,,,,
KS,"2,835",610,317,595,675,639,,,,,,,,,,,,,,,
KY,"4,354",844,611,"1,248",968,682,,,,,,,,,,,,,,,
LA,"4,467",931,662,"1,243",865,765,,,,,,,,,,,,,,,
ME,"1,332",218,140,365,318,291,,,,,,,,,,,,,,,
MD,"5,899","1,102",690,"1,161","1,205","1,741",,,,,,,,,,,,,,,
MA,"6,575","1,123",789,"1,368","1,272","2,024",,,,,,,,,,,,,,,
MI,"9,741","1,853","1,034","2,369","2,485","2,001",,,,,,,,,,,,,,,
MN,"5,357","1,058",560,972,"1,397","1,370",,,,,,,,,,,,,,,
MS,"2,895",628,510,682,625,450,,,,,,,,,,,,,,,
MO,"5,963","1,176",790,"1,353","1,391","1,253",,,,,,,,,,,,,,,
MT,"1,001",180,96,246,261,218,,,,,,,,,,,,,,,
NE,"1,850",391,205,379,474,400,,,,,,,,,,,,,,,
NV,"2,740",552,365,703,697,422,,,,,,,,,,,,,,,
NH,"1,310",220,132,293,283,382,,,,,,,,,,,,,,,
NJ,"8,725","1,658","1,122","1,983","1,563","2,398",,,,,,,,,,,,,,,
NM,"2,067",431,308,428,482,419,,,,,,,,,,,,,,,
NY,"19,329","3,513","2,647","4,232","3,950","4,986",,,,,,,,,,,,,,,
NC,"9,653","1,941","1,504","2,205","2,149","1,854",,,,,,,,,,,,,,,
ND,693,133,62,159,178,161,,,,,,,,,,,,,,,
OH,"11,411","2,157","1,526","3,149","2,495","2,085",,,,,,,,,,,,,,,
OK,"3,714",798,451,958,894,614,,,,,,,,,,,,,,,
OR,"3,877",711,432,854,"1,037",843,,,,,,,,,,,,,,,
PA,"12,692","2,257","1,482","3,804","2,410","2,738",,,,,,,,,,,,,,,
RI,"1,036",176,153,224,219,264,,,,,,,,,,,,,,,
SC,"4,668",896,693,"1,167",975,938,,,,,,,,,,,,,,,
SD,825,170,93,189,213,160,,,,,,,,,,,,,,,
TN,"6,428","1,249",892,"1,676","1,416","1,194",,,,,,,,,,,,,,,
TX,"26,113","5,913","4,475","5,401","5,464","4,860",,,,,,,,,,,,,,,
UT,"2,854",759,302,504,748,540,,,,,,,,,,,,,,,
VT,615,100,63,166,125,161,,,,,,,,,,,,,,,
VA,"8,011","1,547",965,"1,737","1,643","2,118",,,,,,,,,,,,,,,
WA,"6,873","1,325",785,"1,334","1,769","1,660",,,,,,,,,,,,,,,
WV,"1,806",315,259,597,319,316,,,,,,,,,,,,,,,
WI,"5,648","1,074",640,"1,375","1,365","1,194",,,,,,,,,,,,,,,
WY,578,116,58,152,169,84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2013",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
