CPS Data Collected in Year: 2015,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"316,168","60,980","42,205","71,887","68,874","72,222",,,,,,,,,,,,,,,
State,"4,768",909,759,"1,226","1,010",864,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,696,156,72,161,168,138,,,,,,,,,,,,,,,
AZ,"6,657","1,330","1,099","1,215","1,609","1,404",,,,,,,,,,,,,,,
AR,"2,896",585,412,826,604,469,,,,,,,,,,,,,,,
CA,"38,701","7,604","6,203","7,358","8,605","8,932",,,,,,,,,,,,,,,
CO,"5,377","1,055",589,"1,006","1,159","1,568",,,,,,,,,,,,,,,
CT,"3,578",627,403,747,727,"1,075",,,,,,,,,,,,,,,
DE,929,173,109,240,189,218,,,,,,,,,,,,,,,
DC,657,101,68,95,78,315,,,,,,,,,,,,,,,
FL,"19,731","3,342","2,559","5,158","4,356","4,315",,,,,,,,,,,,,,,
GA,"9,965","2,080","1,343","2,298","2,171","2,073",,,,,,,,,,,,,,,
HI,"1,365",266,131,343,328,298,,,,,,,,,,,,,,,
ID,"1,610",351,223,315,413,308,,,,,,,,,,,,,,,
IL,"12,798","2,473","1,530","2,772","2,733","3,290",,,,,,,,,,,,,,,
IN,"6,478","1,322",845,"1,885","1,235","1,190",,,,,,,,,,,,,,,
IA,"3,081",610,298,762,775,635,,,,,,,,,,,,,,,
KS,"2,853",590,373,588,658,644,,,,,,,,,,,,,,,
KY,"4,316",841,637,"1,114",905,819,,,,,,,,,,,,,,,
LA,"4,557",931,729,"1,195",962,740,,,,,,,,,,,,,,,
ME,"1,300",214,146,377,282,280,,,,,,,,,,,,,,,
MD,"5,939","1,141",581,"1,201","1,225","1,790",,,,,,,,,,,,,,,
MA,"6,658","1,152",692,"1,399","1,171","2,245",,,,,,,,,,,,,,,
MI,"9,906","1,806","1,126","2,549","2,469","1,957",,,,,,,,,,,,,,,
MN,"5,419","1,058",602,"1,025","1,315","1,418",,,,,,,,,,,,,,,
MS,"2,965",599,481,755,685,444,,,,,,,,,,,,,,,
MO,"5,961","1,134",659,"1,407","1,399","1,362",,,,,,,,,,,,,,,
MT,"1,009",184,109,220,257,239,,,,,,,,,,,,,,,
NE,"1,881",392,217,387,473,413,,,,,,,,,,,,,,,
NV,"2,823",554,368,665,719,518,,,,,,,,,,,,,,,
NH,"1,320",211,113,304,318,374,,,,,,,,,,,,,,,
NJ,"8,939","1,660","1,015","2,014","1,644","2,606",,,,,,,,,,,,,,,
NM,"2,035",421,282,414,503,416,,,,,,,,,,,,,,,
NY,"19,679","3,464","2,604","4,231","3,808","5,573",,,,,,,,,,,,,,,
NC,"9,836","1,881","1,378","2,264","2,173","2,139",,,,,,,,,,,,,,,
ND,733,146,74,152,204,157,,,,,,,,,,,,,,,
OH,"11,536","2,173","1,382","3,357","2,429","2,194",,,,,,,,,,,,,,,
OK,"3,742",807,529,939,803,664,,,,,,,,,,,,,,,
OR,"3,962",711,479,857,996,921,,,,,,,,,,,,,,,
PA,"12,627","2,206","1,510","3,609","2,402","2,900",,,,,,,,,,,,,,,
RI,"1,048",167,161,228,221,272,,,,,,,,,,,,,,,
SC,"4,764",928,664,"1,263","1,066",842,,,,,,,,,,,,,,,
SD,847,177,87,196,220,167,,,,,,,,,,,,,,,
TN,"6,502","1,243",955,"1,638","1,346","1,320",,,,,,,,,,,,,,,
TX,"26,687","5,949","4,389","5,272","5,660","5,418",,,,,,,,,,,,,,,
UT,"2,929",771,307,551,739,562,,,,,,,,,,,,,,,
VT,617,97,51,154,125,190,,,,,,,,,,,,,,,
VA,"8,259","1,560","1,052","1,569","1,794","2,284",,,,,,,,,,,,,,,
WA,"7,085","1,338",867,"1,478","1,700","1,702",,,,,,,,,,,,,,,
WV,"1,826",313,277,578,364,294,,,,,,,,,,,,,,,
WI,"5,747","1,064",615,"1,381","1,527","1,161",,,,,,,,,,,,,,,
WY,572,116,51,148,152,106,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2015",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
