CPS Data Collected in Year: 2015,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Totals,Health Insurance Coverage in 2014,,,,,,,,,,,,,,,,,,
,,Insured,Uninsured,,,,,,,,,,,,,,,,,
Totals,"316,168","283,200","32,968",,,,,,,,,,,,,,,,,
State,"4,768","4,246",522,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,
AK,696,595,101,,,,,,,,,,,,,,,,,
AZ,"6,657","5,830",827,,,,,,,,,,,,,,,,,
AR,"2,896","2,609",287,,,,,,,,,,,,,,,,,
CA,"38,701","34,785","3,917",,,,,,,,,,,,,,,,,
CO,"5,377","4,775",603,,,,,,,,,,,,,,,,,
CT,"3,578","3,329",249,,,,,,,,,,,,,,,,,
DE,929,866,63,,,,,,,,,,,,,,,,,
DC,657,615,42,,,,,,,,,,,,,,,,,
FL,"19,731","16,856","2,875",,,,,,,,,,,,,,,,,
GA,"9,965","8,419","1,546",,,,,,,,,,,,,,,,,
HI,"1,365","1,293",73,,,,,,,,,,,,,,,,,
ID,"1,610","1,440",170,,,,,,,,,,,,,,,,,
IL,"12,798","11,657","1,141",,,,,,,,,,,,,,,,,
IN,"6,478","5,790",688,,,,,,,,,,,,,,,,,
IA,"3,081","2,889",192,,,,,,,,,,,,,,,,,
KS,"2,853","2,546",307,,,,,,,,,,,,,,,,,
KY,"4,316","4,026",289,,,,,,,,,,,,,,,,,
LA,"4,557","3,968",588,,,,,,,,,,,,,,,,,
ME,"1,300","1,178",122,,,,,,,,,,,,,,,,,
MD,"5,939","5,596",343,,,,,,,,,,,,,,,,,
MA,"6,658","6,364",294,,,,,,,,,,,,,,,,,
MI,"9,906","9,209",698,,,,,,,,,,,,,,,,,
MN,"5,419","5,053",365,,,,,,,,,,,,,,,,,
MS,"2,965","2,601",364,,,,,,,,,,,,,,,,,
MO,"5,961","5,436",525,,,,,,,,,,,,,,,,,
MT,"1,009",882,127,,,,,,,,,,,,,,,,,
NE,"1,881","1,701",180,,,,,,,,,,,,,,,,,
NV,"2,823","2,467",357,,,,,,,,,,,,,,,,,
NH,"1,320","1,225",95,,,,,,,,,,,,,,,,,
NJ,"8,939","7,985",954,,,,,,,,,,,,,,,,,
NM,"2,035","1,798",237,,,,,,,,,,,,,,,,,
NY,"19,679","18,159","1,521",,,,,,,,,,,,,,,,,
NC,"9,836","8,676","1,160",,,,,,,,,,,,,,,,,
ND,733,669,64,,,,,,,,,,,,,,,,,
OH,"11,536","10,678",858,,,,,,,,,,,,,,,,,
OK,"3,742","3,158",583,,,,,,,,,,,,,,,,,
OR,"3,962","3,652",311,,,,,,,,,,,,,,,,,
PA,"12,627","11,606","1,021",,,,,,,,,,,,,,,,,
RI,"1,048",991,57,,,,,,,,,,,,,,,,,
SC,"4,764","4,150",614,,,,,,,,,,,,,,,,,
SD,847,769,78,,,,,,,,,,,,,,,,,
TN,"6,502","5,877",625,,,,,,,,,,,,,,,,,
TX,"26,687","22,188","4,499",,,,,,,,,,,,,,,,,
UT,"2,929","2,590",340,,,,,,,,,,,,,,,,,
VT,617,581,36,,,,,,,,,,,,,,,,,
VA,"8,259","7,443",816,,,,,,,,,,,,,,,,,
WA,"7,085","6,438",647,,,,,,,,,,,,,,,,,
WV,"1,826","1,707",118,,,,,,,,,,,,,,,,,
WI,"5,747","5,326",421,,,,,,,,,,,,,,,,,
WY,572,514,58,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2015",,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,
