CPS Data Collected in Year: 2012,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"308,827","61,131","43,548","70,630","67,302","66,216",,,,,,,,,,,,,,,
State,"4,765",913,763,"1,235","1,023",831,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,713,156,88,159,175,135,,,,,,,,,,,,,,,
AZ,"6,561","1,337","1,007","1,222","1,604","1,391",,,,,,,,,,,,,,,
AR,"2,909",611,410,743,675,470,,,,,,,,,,,,,,,
CA,"37,634","7,627","6,656","6,872","8,247","8,231",,,,,,,,,,,,,,,
CO,"5,028","1,017",593,888,"1,136","1,393",,,,,,,,,,,,,,,
CT,"3,517",641,431,759,677,"1,009",,,,,,,,,,,,,,,
DE,903,166,124,237,181,195,,,,,,,,,,,,,,,
DC,620,91,75,99,79,276,,,,,,,,,,,,,,,
FL,"19,012","3,302","2,420","4,669","4,521","4,100",,,,,,,,,,,,,,,
GA,"9,683","2,090","1,355","2,164","1,982","2,092",,,,,,,,,,,,,,,
HI,"1,340",252,156,357,295,279,,,,,,,,,,,,,,,
ID,"1,574",358,198,330,408,279,,,,,,,,,,,,,,,
IL,"12,711","2,558","1,614","2,942","2,682","2,914",,,,,,,,,,,,,,,
IN,"6,353","1,311",963,"1,681","1,412",986,,,,,,,,,,,,,,,
IA,"3,033",595,379,757,724,579,,,,,,,,,,,,,,,
KS,"2,814",606,313,573,648,675,,,,,,,,,,,,,,,
KY,"4,310",858,616,"1,227",918,691,,,,,,,,,,,,,,,
LA,"4,506",916,741,"1,205",915,729,,,,,,,,,,,,,,,
ME,"1,330",217,148,376,315,274,,,,,,,,,,,,,,,
MD,"5,812","1,109",710,"1,236","1,156","1,600",,,,,,,,,,,,,,,
MA,"6,523","1,162",781,"1,305","1,275","2,001",,,,,,,,,,,,,,,
MI,"9,703","1,842","1,164","2,302","2,414","1,980",,,,,,,,,,,,,,,
MN,"5,285","1,053",547,"1,075","1,334","1,276",,,,,,,,,,,,,,,
MS,"2,934",626,516,631,655,506,,,,,,,,,,,,,,,
MO,"5,898","1,165",755,"1,400","1,382","1,195",,,,,,,,,,,,,,,
MT,986,192,81,241,250,222,,,,,,,,,,,,,,,
NE,"1,825",386,210,416,436,377,,,,,,,,,,,,,,,
NV,"2,684",548,381,632,647,476,,,,,,,,,,,,,,,
NH,"1,301",220,136,292,291,362,,,,,,,,,,,,,,,
NJ,"8,652","1,650","1,126","2,032","1,536","2,308",,,,,,,,,,,,,,,
NM,"2,039",432,330,418,413,446,,,,,,,,,,,,,,,
NY,"19,341","3,522","2,842","4,549","3,727","4,701",,,,,,,,,,,,,,,
NC,"9,505","1,931","1,386","2,169","2,133","1,886",,,,,,,,,,,,,,,
ND,675,127,70,142,184,154,,,,,,,,,,,,,,,
OH,"11,320","2,238","1,380","3,286","2,520","1,896",,,,,,,,,,,,,,,
OK,"3,767",809,404,944,924,686,,,,,,,,,,,,,,,
OR,"3,856",720,405,786,"1,034",910,,,,,,,,,,,,,,,
PA,"12,716","2,232","1,593","3,832","2,407","2,652",,,,,,,,,,,,,,,
RI,"1,038",177,171,247,204,240,,,,,,,,,,,,,,,
SC,"4,612",918,654,"1,153","1,040",848,,,,,,,,,,,,,,,
SD,812,170,97,200,196,149,,,,,,,,,,,,,,,
TN,"6,337","1,245",921,"1,681","1,300","1,190",,,,,,,,,,,,,,,
TX,"25,592","5,829","4,621","5,143","5,227","4,772",,,,,,,,,,,,,,,
UT,"2,814",737,358,514,727,478,,,,,,,,,,,,,,,
VT,616,102,67,162,126,160,,,,,,,,,,,,,,,
VA,"7,976","1,547",980,"1,803","1,597","2,050",,,,,,,,,,,,,,,
WA,"6,817","1,300",868,"1,347","1,690","1,612",,,,,,,,,,,,,,,
WV,"1,825",317,254,630,340,285,,,,,,,,,,,,,,,
WI,"5,686","1,092",623,"1,416","1,371","1,184",,,,,,,,,,,,,,,
WY,563,113,65,151,150,83,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2012",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
