CPS Data Collected in Year: 2010,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"304,280","62,112","44,028","71,358","64,217","62,566",,,,,,,,,,,,,,,
State,"4,669",935,772,"1,319",945,698,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,691,155,88,156,172,120,,,,,,,,,,,,,,,
AZ,"6,513","1,467",952,"1,321","1,463","1,310",,,,,,,,,,,,,,,
AR,"2,852",589,478,833,591,361,,,,,,,,,,,,,,,
CA,"36,794","7,894","6,381","6,446","7,972","8,102",,,,,,,,,,,,,,,
CO,"4,971","1,045",573,959,988,"1,407",,,,,,,,,,,,,,,
CT,"3,480",655,409,788,666,961,,,,,,,,,,,,,,,
DE,884,174,126,235,173,176,,,,,,,,,,,,,,,
DC,596,98,80,96,84,239,,,,,,,,,,,,,,,
FL,"18,405","3,371","2,439","4,445","4,239","3,910",,,,,,,,,,,,,,,
GA,"9,671","2,164","1,448","2,244","1,871","1,944",,,,,,,,,,,,,,,
HI,"1,251",246,138,314,294,259,,,,,,,,,,,,,,,
ID,"1,526",358,187,325,393,263,,,,,,,,,,,,,,,
IL,"12,767","2,628","1,673","2,890","2,704","2,873",,,,,,,,,,,,,,,
IN,"6,364","1,321",855,"1,927","1,281",979,,,,,,,,,,,,,,,
IA,"2,995",595,364,763,748,525,,,,,,,,,,,,,,,
KS,"2,745",590,331,567,663,594,,,,,,,,,,,,,,,
KY,"4,282",842,776,"1,065",915,684,,,,,,,,,,,,,,,
LA,"4,453",927,622,"1,267",882,755,,,,,,,,,,,,,,,
ME,"1,300",216,171,358,276,278,,,,,,,,,,,,,,,
MD,"5,667","1,107",689,"1,229","1,123","1,520",,,,,,,,,,,,,,,
MA,"6,631","1,176",814,"1,535","1,186","1,921",,,,,,,,,,,,,,,
MI,"9,815","1,886","1,193","2,541","2,282","1,913",,,,,,,,,,,,,,,
MN,"5,203","1,058",581,"1,103","1,276","1,183",,,,,,,,,,,,,,,
MS,"2,850",639,542,678,646,345,,,,,,,,,,,,,,,
MO,"5,969","1,186",875,"1,616","1,356",936,,,,,,,,,,,,,,,
MT,972,182,97,252,242,200,,,,,,,,,,,,,,,
NE,"1,780",378,220,396,420,366,,,,,,,,,,,,,,,
NV,"2,632",575,381,690,570,416,,,,,,,,,,,,,,,
NH,"1,314",229,137,287,305,356,,,,,,,,,,,,,,,
NJ,"8,680","1,667","1,141","2,169","1,560","2,143",,,,,,,,,,,,,,,
NM,"1,978",436,327,420,436,359,,,,,,,,,,,,,,,
NY,"19,184","3,649","2,755","4,465","3,678","4,637",,,,,,,,,,,,,,,
NC,"9,348","1,918","1,347","2,298","1,998","1,787",,,,,,,,,,,,,,,
ND,632,119,72,131,180,130,,,,,,,,,,,,,,,
OH,"11,462","2,263","1,501","3,417","2,454","1,828",,,,,,,,,,,,,,,
OK,"3,636",782,472,933,826,623,,,,,,,,,,,,,,,
OR,"3,835",722,472,915,906,818,,,,,,,,,,,,,,,
PA,"12,414","2,264","1,774","3,831","2,171","2,374",,,,,,,,,,,,,,,
RI,"1,033",186,166,229,218,233,,,,,,,,,,,,,,,
SC,"4,507",891,730,"1,187",904,795,,,,,,,,,,,,,,,
SD,800,169,100,194,191,147,,,,,,,,,,,,,,,
TN,"6,253","1,246","1,014","1,690","1,239","1,063",,,,,,,,,,,,,,,
TX,"24,657","5,891","4,653","5,041","4,811","4,261",,,,,,,,,,,,,,,
UT,"2,800",760,311,537,683,509,,,,,,,,,,,,,,,
VT,618,103,70,167,121,158,,,,,,,,,,,,,,,
VA,"7,778","1,541",978,"1,731","1,518","2,009",,,,,,,,,,,,,,,
WA,"6,714","1,315",733,"1,232","1,834","1,600",,,,,,,,,,,,,,,
WV,"1,805",316,310,581,324,274,,,,,,,,,,,,,,,
WI,"5,565","1,078",651,"1,404","1,295","1,136",,,,,,,,,,,,,,,
WY,541,113,59,142,139,88,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2010",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
