CPS Data Collected in Year: 2008,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"299,106","60,958","45,080","69,702","62,875","60,490",,,,,,,,,,,,,,,
State,"4,570",928,782,"1,090","1,022",748,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,675,150,70,169,173,114,,,,,,,,,,,,,,,
AZ,"6,368","1,394","1,080","1,268","1,453","1,172",,,,,,,,,,,,,,,
AR,"2,805",585,509,769,524,419,,,,,,,,,,,,,,,
CA,"36,295","7,694","6,660","6,405","7,849","7,687",,,,,,,,,,,,,,,
CO,"4,877","1,003",563,975,"1,050","1,287",,,,,,,,,,,,,,,
CT,"3,476",660,425,810,663,918,,,,,,,,,,,,,,,
DE,863,166,126,227,169,175,,,,,,,,,,,,,,,
DC,582,95,73,108,86,220,,,,,,,,,,,,,,,
FL,"18,074","3,312","2,545","4,517","3,941","3,759",,,,,,,,,,,,,,,
GA,"9,493","2,138","1,369","2,159","1,855","1,972",,,,,,,,,,,,,,,
HI,"1,267",238,143,329,307,250,,,,,,,,,,,,,,,
ID,"1,501",342,190,355,360,253,,,,,,,,,,,,,,,
IL,"12,688","2,638","1,718","2,805","2,793","2,733",,,,,,,,,,,,,,,
IN,"6,263","1,311",841,"1,833","1,255","1,023",,,,,,,,,,,,,,,
IA,"2,970",583,347,759,752,529,,,,,,,,,,,,,,,
KS,"2,722",584,327,593,641,577,,,,,,,,,,,,,,,
KY,"4,207",829,745,"1,135",842,656,,,,,,,,,,,,,,,
LA,"4,197",900,738,"1,090",842,627,,,,,,,,,,,,,,,
ME,"1,313",223,155,395,287,253,,,,,,,,,,,,,,,
MD,"5,565","1,088",738,"1,187","1,112","1,440",,,,,,,,,,,,,,,
MA,"6,340","1,160",741,"1,338","1,137","1,964",,,,,,,,,,,,,,,
MI,"9,927","1,973","1,285","2,516","2,301","1,852",,,,,,,,,,,,,,,
MN,"5,190","1,040",538,"1,025","1,314","1,273",,,,,,,,,,,,,,,
MS,"2,903",648,584,664,591,416,,,,,,,,,,,,,,,
MO,"5,791","1,170",863,"1,489","1,263","1,006",,,,,,,,,,,,,,,
MT,939,180,102,247,240,169,,,,,,,,,,,,,,,
NE,"1,753",368,207,437,410,331,,,,,,,,,,,,,,,
NV,"2,568",563,374,654,572,404,,,,,,,,,,,,,,,
NH,"1,314",234,150,310,297,324,,,,,,,,,,,,,,,
NJ,"8,556","1,678","1,193","2,079","1,400","2,205",,,,,,,,,,,,,,,
NM,"1,946",406,308,409,447,376,,,,,,,,,,,,,,,
NY,"19,062","3,563","2,971","4,533","3,656","4,339",,,,,,,,,,,,,,,
NC,"9,183","1,854","1,592","2,001","1,939","1,797",,,,,,,,,,,,,,,
ND,615,118,82,127,170,119,,,,,,,,,,,,,,,
OH,"11,300","2,233","1,500","3,360","2,291","1,916",,,,,,,,,,,,,,,
OK,"3,551",751,557,920,781,543,,,,,,,,,,,,,,,
OR,"3,762",699,489,832,928,813,,,,,,,,,,,,,,,
PA,"12,313","2,259","1,679","3,860","2,207","2,309",,,,,,,,,,,,,,,
RI,"1,044",188,179,237,200,240,,,,,,,,,,,,,,,
SC,"4,384",878,700,"1,146",932,728,,,,,,,,,,,,,,,
SD,788,161,98,202,186,142,,,,,,,,,,,,,,,
TN,"6,150","1,235","1,061","1,572","1,207","1,076",,,,,,,,,,,,,,,
TX,"23,704","5,664","4,461","4,804","4,710","4,066",,,,,,,,,,,,,,,
UT,"2,657",702,304,510,653,488,,,,,,,,,,,,,,,
VT,614,104,78,153,124,156,,,,,,,,,,,,,,,
VA,"7,684","1,521","1,034","1,767","1,472","1,889",,,,,,,,,,,,,,,
WA,"6,509","1,264",738,"1,385","1,739","1,382",,,,,,,,,,,,,,,
WV,"1,795",311,319,646,318,201,,,,,,,,,,,,,,,
WI,"5,473","1,068",683,"1,371","1,274","1,078",,,,,,,,,,,,,,,
WY,518,104,65,131,144,75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2008",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
