CPS Data Collected in Year: 2011,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"306,553","61,180","44,055","70,809","66,125","64,383",,,,,,,,,,,,,,,
State,"4,717",934,790,"1,218","1,004",772,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,696,155,87,150,174,130,,,,,,,,,,,,,,,
AZ,"6,439","1,327",979,"1,266","1,551","1,316",,,,,,,,,,,,,,,
AR,"2,881",595,404,858,614,409,,,,,,,,,,,,,,,
CA,"37,292","7,642","6,672","6,841","8,077","8,060",,,,,,,,,,,,,,,
CO,"5,001","1,034",560,904,"1,086","1,417",,,,,,,,,,,,,,,
CT,"3,546",649,438,800,691,968,,,,,,,,,,,,,,,
DE,891,167,124,243,177,180,,,,,,,,,,,,,,,
DC,605,88,73,99,83,263,,,,,,,,,,,,,,,
FL,"18,775","3,271","2,370","4,617","4,425","4,092",,,,,,,,,,,,,,,
GA,"9,658","2,056","1,397","2,188","2,096","1,921",,,,,,,,,,,,,,,
HI,"1,315",253,138,322,311,291,,,,,,,,,,,,,,,
ID,"1,546",360,204,348,378,257,,,,,,,,,,,,,,,
IL,"12,792","2,551","1,699","2,873","2,778","2,892",,,,,,,,,,,,,,,
IN,"6,409","1,363",808,"1,865","1,324","1,049",,,,,,,,,,,,,,,
IA,"2,985",602,386,757,716,524,,,,,,,,,,,,,,,
KS,"2,770",602,325,532,670,642,,,,,,,,,,,,,,,
KY,"4,286",850,670,"1,117",932,718,,,,,,,,,,,,,,,
LA,"4,418",943,716,"1,014",924,821,,,,,,,,,,,,,,,
ME,"1,300",221,158,350,291,280,,,,,,,,,,,,,,,
MD,"5,789","1,114",716,"1,262","1,121","1,576",,,,,,,,,,,,,,,
MA,"6,542","1,151",799,"1,443","1,213","1,936",,,,,,,,,,,,,,,
MI,"9,763","1,885","1,263","2,473","2,322","1,821",,,,,,,,,,,,,,,
MN,"5,221","1,061",549,"1,102","1,272","1,237",,,,,,,,,,,,,,,
MS,"2,929",634,506,693,652,444,,,,,,,,,,,,,,,
MO,"5,943","1,157",837,"1,476","1,394","1,079",,,,,,,,,,,,,,,
MT,981,184,97,248,241,211,,,,,,,,,,,,,,,
NE,"1,806",386,226,425,410,359,,,,,,,,,,,,,,,
NV,"2,698",553,366,668,640,471,,,,,,,,,,,,,,,
NH,"1,297",226,135,275,301,360,,,,,,,,,,,,,,,
NJ,"8,741","1,657","1,133","2,081","1,621","2,250",,,,,,,,,,,,,,,
NM,"2,034",440,323,394,458,419,,,,,,,,,,,,,,,
NY,"19,135","3,498","2,848","4,373","3,726","4,690",,,,,,,,,,,,,,,
NC,"9,382","1,913","1,388","2,141","2,113","1,827",,,,,,,,,,,,,,,
ND,654,126,75,136,178,139,,,,,,,,,,,,,,,
OH,"11,358","2,231","1,513","3,442","2,352","1,819",,,,,,,,,,,,,,,
OK,"3,703",780,510,943,811,659,,,,,,,,,,,,,,,
OR,"3,770",719,395,845,960,851,,,,,,,,,,,,,,,
PA,"12,544","2,252","1,615","3,815","2,329","2,533",,,,,,,,,,,,,,,
RI,"1,043",181,161,248,219,234,,,,,,,,,,,,,,,
SC,"4,569",900,695,"1,175","1,035",764,,,,,,,,,,,,,,,
SD,801,170,93,194,196,148,,,,,,,,,,,,,,,
TN,"6,324","1,227",977,"1,740","1,268","1,113",,,,,,,,,,,,,,,
TX,"25,225","5,855","4,698","4,888","5,083","4,701",,,,,,,,,,,,,,,
UT,"2,770",734,330,544,652,509,,,,,,,,,,,,,,,
VT,625,104,66,169,125,160,,,,,,,,,,,,,,,
VA,"7,844","1,531",983,"1,708","1,582","2,041",,,,,,,,,,,,,,,
WA,"6,728","1,329",814,"1,305","1,823","1,458",,,,,,,,,,,,,,,
WV,"1,823",319,287,621,321,275,,,,,,,,,,,,,,,
WI,"5,638","1,092",595,"1,478","1,262","1,211",,,,,,,,,,,,,,,
WY,552,113,66,145,145,83,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2011",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
