CPS Data Collected in Year: 2016,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Totals,Health Insurance Coverage in 2015,,,,,,,,,,,,,,,,,,
,,Insured,Uninsured,,,,,,,,,,,,,,,,,
Totals,"318,868","289,903","28,966",,,,,,,,,,,,,,,,,
State,"4,834","4,315",519,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,
AK,705,615,91,,,,,,,,,,,,,,,,,
AZ,"6,740","5,895",845,,,,,,,,,,,,,,,,,
AR,"2,953","2,685",268,,,,,,,,,,,,,,,,,
CA,"39,114","36,133","2,981",,,,,,,,,,,,,,,,,
CO,"5,421","4,946",476,,,,,,,,,,,,,,,,,
CT,"3,572","3,355",217,,,,,,,,,,,,,,,,,
DE,959,894,65,,,,,,,,,,,,,,,,,
DC,677,650,27,,,,,,,,,,,,,,,,,
FL,"20,085","17,541","2,545",,,,,,,,,,,,,,,,,
GA,"10,105","8,694","1,411",,,,,,,,,,,,,,,,,
HI,"1,386","1,316",70,,,,,,,,,,,,,,,,,
ID,"1,659","1,472",187,,,,,,,,,,,,,,,,,
IL,"12,702","11,910",792,,,,,,,,,,,,,,,,,
IN,"6,512","5,901",611,,,,,,,,,,,,,,,,,
IA,"3,101","2,934",167,,,,,,,,,,,,,,,,,
KS,"2,852","2,567",285,,,,,,,,,,,,,,,,,
KY,"4,383","4,117",267,,,,,,,,,,,,,,,,,
LA,"4,604","4,101",503,,,,,,,,,,,,,,,,,
ME,"1,342","1,281",61,,,,,,,,,,,,,,,,,
MD,"5,900","5,506",394,,,,,,,,,,,,,,,,,
MA,"6,786","6,497",289,,,,,,,,,,,,,,,,,
MI,"9,862","9,291",571,,,,,,,,,,,,,,,,,
MN,"5,463","5,129",334,,,,,,,,,,,,,,,,,
MS,"2,949","2,569",380,,,,,,,,,,,,,,,,,
MO,"5,963","5,436",527,,,,,,,,,,,,,,,,,
MT,"1,018",915,103,,,,,,,,,,,,,,,,,
NE,"1,860","1,702",158,,,,,,,,,,,,,,,,,
NV,"2,867","2,543",325,,,,,,,,,,,,,,,,,
NH,"1,293","1,225",68,,,,,,,,,,,,,,,,,
NJ,"8,942","8,242",699,,,,,,,,,,,,,,,,,
NM,"2,041","1,789",252,,,,,,,,,,,,,,,,,
NY,"19,695","18,431","1,264",,,,,,,,,,,,,,,,,
NC,"9,902","8,807","1,095",,,,,,,,,,,,,,,,,
ND,763,702,62,,,,,,,,,,,,,,,,,
OH,"11,451","10,770",681,,,,,,,,,,,,,,,,,
OK,"3,903","3,389",514,,,,,,,,,,,,,,,,,
OR,"4,033","3,746",287,,,,,,,,,,,,,,,,,
PA,"12,596","11,868",728,,,,,,,,,,,,,,,,,
RI,"1,045",995,49,,,,,,,,,,,,,,,,,
SC,"4,795","4,276",519,,,,,,,,,,,,,,,,,
SD,848,770,79,,,,,,,,,,,,,,,,,
TN,"6,616","5,898",718,,,,,,,,,,,,,,,,,
TX,"27,434","23,101","4,334",,,,,,,,,,,,,,,,,
UT,"3,005","2,703",302,,,,,,,,,,,,,,,,,
VT,610,578,32,,,,,,,,,,,,,,,,,
VA,"8,217","7,454",763,,,,,,,,,,,,,,,,,
WA,"7,195","6,702",493,,,,,,,,,,,,,,,,,
WV,"1,798","1,681",116,,,,,,,,,,,,,,,,,
WI,"5,738","5,351",387,,,,,,,,,,,,,,,,,
WY,575,521,53,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2016",,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,
